Pomerance CUDA x16halvenonsplit prototype

p = 1000000000000000000000000103
mode = x16ecoverd4probe
seed_offset = 0
seed_mode = identity
max_trials = 100000000
chunk_trials = 100000000
probe_target_depth = 24
probe_prefix_filter_depth = 8
probe_bucket_bits = 6
k = 45
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=64

  probe_trials=99992880 elapsed=75.499 rate_Mps=1.324424 target_survivors=1522 y_draws=3214622879
  probe_trials=99993104 elapsed=75.501 rate_Mps=1.324388 target_survivors=1522 y_draws=3214761343
  probe_trials=99993320 elapsed=75.504 rate_Mps=1.324351 target_survivors=1522 y_draws=3214899306
  probe_trials=99993530 elapsed=75.506 rate_Mps=1.324305 target_survivors=1522 y_draws=3215037247
  probe_trials=99993734 elapsed=75.509 rate_Mps=1.324264 target_survivors=1522 y_draws=3215174892
  probe_trials=99993930 elapsed=75.511 rate_Mps=1.324224 target_survivors=1522 y_draws=3215312586
  probe_trials=99994120 elapsed=75.514 rate_Mps=1.324188 target_survivors=1522 y_draws=3215450817
  probe_trials=99994304 elapsed=75.516 rate_Mps=1.324153 target_survivors=1522 y_draws=3215589547
  probe_trials=99994482 elapsed=75.518 rate_Mps=1.324116 target_survivors=1522 y_draws=3215727089
  probe_trials=99994656 elapsed=75.520 rate_Mps=1.324081 target_survivors=1522 y_draws=3215865007
  probe_trials=99994824 elapsed=75.522 rate_Mps=1.324044 target_survivors=1522 y_draws=3216002538
  probe_trials=99994986 elapsed=75.525 rate_Mps=1.324004 target_survivors=1522 y_draws=3216140277
  probe_trials=99995144 elapsed=75.527 rate_Mps=1.323968 target_survivors=1522 y_draws=3216277728
  probe_trials=99995296 elapsed=75.529 rate_Mps=1.323930 target_survivors=1522 y_draws=3216415012
  probe_trials=99995444 elapsed=75.531 rate_Mps=1.323894 target_survivors=1522 y_draws=3216553168
  probe_trials=99995588 elapsed=75.533 rate_Mps=1.323859 target_survivors=1522 y_draws=3216690793
  probe_trials=99995726 elapsed=75.536 rate_Mps=1.323824 target_survivors=1522 y_draws=3216828499
  probe_trials=99995860 elapsed=75.538 rate_Mps=1.323789 target_survivors=1522 y_draws=3216966029
  probe_trials=99995990 elapsed=75.540 rate_Mps=1.323753 target_survivors=1522 y_draws=3217104005
  probe_trials=99996116 elapsed=75.542 rate_Mps=1.323714 target_survivors=1522 y_draws=3217241166
  probe_trials=99996238 elapsed=75.544 rate_Mps=1.323678 target_survivors=1522 y_draws=3217378527
  probe_trials=99996356 elapsed=75.547 rate_Mps=1.323639 target_survivors=1522 y_draws=3217516069
  probe_trials=99996470 elapsed=75.549 rate_Mps=1.323605 target_survivors=1522 y_draws=3217653645
  probe_trials=99996582 elapsed=75.551 rate_Mps=1.323568 target_survivors=1522 y_draws=3217791021
  probe_trials=99996690 elapsed=75.553 rate_Mps=1.323533 target_survivors=1522 y_draws=3217928361
  probe_trials=99996794 elapsed=75.555 rate_Mps=1.323495 target_survivors=1522 y_draws=3218065904
  probe_trials=99996896 elapsed=75.557 rate_Mps=1.323461 target_survivors=1522 y_draws=3218203168
  probe_trials=99996994 elapsed=75.559 rate_Mps=1.323421 target_survivors=1522 y_draws=3218340720
  probe_trials=99997088 elapsed=75.561 rate_Mps=1.323387 target_survivors=1522 y_draws=3218478287
  probe_trials=99997180 elapsed=75.564 rate_Mps=1.323351 target_survivors=1522 y_draws=3218615961
  probe_trials=99997270 elapsed=75.566 rate_Mps=1.323315 target_survivors=1522 y_draws=3218753398
  probe_trials=99997356 elapsed=75.568 rate_Mps=1.323280 target_survivors=1522 y_draws=3218891022
  probe_trials=99997440 elapsed=75.570 rate_Mps=1.323242 target_survivors=1522 y_draws=3219028105
  probe_trials=99997520 elapsed=75.572 rate_Mps=1.323208 target_survivors=1522 y_draws=3219165665
  probe_trials=99997598 elapsed=75.574 rate_Mps=1.323170 target_survivors=1522 y_draws=3219303129
  probe_trials=99997674 elapsed=75.576 rate_Mps=1.323137 target_survivors=1522 y_draws=3219440646
  probe_trials=99997748 elapsed=75.578 rate_Mps=1.323102 target_survivors=1522 y_draws=3219578197
  probe_trials=99997820 elapsed=75.580 rate_Mps=1.323069 target_survivors=1522 y_draws=3219715071
  probe_trials=99997890 elapsed=75.582 rate_Mps=1.323036 target_survivors=1522 y_draws=3219852233
  probe_trials=99997956 elapsed=75.584 rate_Mps=1.323003 target_survivors=1522 y_draws=3219989775
  probe_trials=99998020 elapsed=75.587 rate_Mps=1.322961 target_survivors=1522 y_draws=3220127170
  probe_trials=99998082 elapsed=75.589 rate_Mps=1.322925 target_survivors=1522 y_draws=3220264469
  probe_trials=99998142 elapsed=75.591 rate_Mps=1.322883 target_survivors=1522 y_draws=3220401847
  probe_trials=99998202 elapsed=75.593 rate_Mps=1.322848 target_survivors=1522 y_draws=3220539432
  probe_trials=99998260 elapsed=75.595 rate_Mps=1.322815 target_survivors=1522 y_draws=3220676397
  probe_trials=99998316 elapsed=75.597 rate_Mps=1.322785 target_survivors=1522 y_draws=3220813815
  probe_trials=99998370 elapsed=75.599 rate_Mps=1.322751 target_survivors=1522 y_draws=3220951234
  probe_trials=99998422 elapsed=75.601 rate_Mps=1.322711 target_survivors=1522 y_draws=3221088595
  probe_trials=99998472 elapsed=75.603 rate_Mps=1.322676 target_survivors=1522 y_draws=3221225714
  probe_trials=99998520 elapsed=75.605 rate_Mps=1.322636 target_survivors=1522 y_draws=3221363171
  probe_trials=99998568 elapsed=75.607 rate_Mps=1.322602 target_survivors=1522 y_draws=3221500301
  probe_trials=99998614 elapsed=75.610 rate_Mps=1.322566 target_survivors=1522 y_draws=3221637910
  probe_trials=99998658 elapsed=75.612 rate_Mps=1.322531 target_survivors=1522 y_draws=3221775123
  probe_trials=99998700 elapsed=75.613 rate_Mps=1.322498 target_survivors=1522 y_draws=3221912366
  probe_trials=99998742 elapsed=75.615 rate_Mps=1.322464 target_survivors=1522 y_draws=3222049842
  probe_trials=99998782 elapsed=75.617 rate_Mps=1.322430 target_survivors=1522 y_draws=3222187431
  probe_trials=99998822 elapsed=75.620 rate_Mps=1.322389 target_survivors=1522 y_draws=3222324612
  probe_trials=99998860 elapsed=75.622 rate_Mps=1.322356 target_survivors=1522 y_draws=3222461811
  probe_trials=99998896 elapsed=75.624 rate_Mps=1.322325 target_survivors=1522 y_draws=3222599220
  probe_trials=99998932 elapsed=75.625 rate_Mps=1.322294 target_survivors=1522 y_draws=3222736695
  probe_trials=99998966 elapsed=75.627 rate_Mps=1.322262 target_survivors=1522 y_draws=3222873861
  probe_trials=99999000 elapsed=75.629 rate_Mps=1.322226 target_survivors=1522 y_draws=3223010897
  probe_trials=99999032 elapsed=75.631 rate_Mps=1.322193 target_survivors=1522 y_draws=3223148093
  probe_trials=99999064 elapsed=75.633 rate_Mps=1.322159 target_survivors=1522 y_draws=3223285723
  probe_trials=99999094 elapsed=75.635 rate_Mps=1.322123 target_survivors=1522 y_draws=3223423049
  probe_trials=99999124 elapsed=75.637 rate_Mps=1.322090 target_survivors=1522 y_draws=3223560522
  probe_trials=99999152 elapsed=75.639 rate_Mps=1.322051 target_survivors=1522 y_draws=3223697897
  probe_trials=99999180 elapsed=75.641 rate_Mps=1.322017 target_survivors=1522 y_draws=3223835244
  probe_trials=99999206 elapsed=75.644 rate_Mps=1.321976 target_survivors=1522 y_draws=3223972221
  probe_trials=99999232 elapsed=75.645 rate_Mps=1.321946 target_survivors=1522 y_draws=3224109443
  probe_trials=99999256 elapsed=75.647 rate_Mps=1.321912 target_survivors=1522 y_draws=3224246439
  probe_trials=99999280 elapsed=75.650 rate_Mps=1.321875 target_survivors=1522 y_draws=3224383764
  probe_trials=99999304 elapsed=75.651 rate_Mps=1.321842 target_survivors=1522 y_draws=3224521437
  probe_trials=99999326 elapsed=75.653 rate_Mps=1.321810 target_survivors=1522 y_draws=3224658621
  probe_trials=99999348 elapsed=75.655 rate_Mps=1.321778 target_survivors=1522 y_draws=3224796012
  probe_trials=99999370 elapsed=75.657 rate_Mps=1.321748 target_survivors=1522 y_draws=3224933121
  probe_trials=99999390 elapsed=75.659 rate_Mps=1.321717 target_survivors=1522 y_draws=3225070114
  probe_trials=99999410 elapsed=75.661 rate_Mps=1.321683 target_survivors=1522 y_draws=3225207435
  probe_trials=99999430 elapsed=75.663 rate_Mps=1.321648 target_survivors=1522 y_draws=3225344355
  probe_trials=99999448 elapsed=75.665 rate_Mps=1.321616 target_survivors=1522 y_draws=3225481560
  probe_trials=99999466 elapsed=75.666 rate_Mps=1.321584 target_survivors=1522 y_draws=3225618386
  probe_trials=99999484 elapsed=75.668 rate_Mps=1.321551 target_survivors=1522 y_draws=3225755728
  probe_trials=99999502 elapsed=75.670 rate_Mps=1.321521 target_survivors=1522 y_draws=3225892855
  probe_trials=99999518 elapsed=75.672 rate_Mps=1.321491 target_survivors=1522 y_draws=3226030701
  probe_trials=99999534 elapsed=75.674 rate_Mps=1.321453 target_survivors=1522 y_draws=3226167675
